,Number,FirstRow,SecondRow,ThirdRow,Original,FirstKeyPhrase,SecondKeyPhrase,KeyEmotion
0,1,Old truck kicks up dust:,Baby in a wheelbarrow,"Raises, lowers eyes</p>", , , , 
1,2,Zebra in the road,Again—this time she saunters,Barely out of reach</p>, , , , 
2,3,Cannonball disturbs,Two red basker dragonflies,Dancing near the pool</p>, , , , 
3,4,Gorgeous giraffe (girl),Stops eating to watch us croon—,Takes the service road</p>, , , , 
4,5,Schoolyard full of kids,In pleated skirts beaded thick,With every color</p>, , , , 
5,6,Sun-hot sticky figs,"Burst underfoot, the biggest",Make me slip a bit</p>, , , , 
6,7,Death Cab for Cutie,Under South African wind,As I film a rock</p>, , , , 
7,8,Two rescued cheetahs,Eating “cheetah cereal”—,Malar stripes bobbing</p>, , , , 
8,9,Five-year-old follows,A butterfly on its way,Past an aloe tree</p>, , , , 
9,10,Hadada ibis,Screeching through his awkward flight,Over our breakfast</p>, , , , 
10,11,A Vervet monkey,Slides down our windshield: we watch,Crouched at the windows</p>, , , , 
11,12,Young Vervet monkey,Steals from the spigot—his friend,Hears me laugh and runs</p>, , , , 
12,13,The smallest lizard,I have ever seen eyes me,From a concrete crack</p>, , , , 
13,14,Wood sign announces,<em>DUNG BEETLES HAVE THE RIGHT OF WAY</em>:,Dirt road turns to dust</p>, , , , 
14,15,Dik-dik or jaguar,Flees as I step foot outside,(I hope the latter…)</p>, , , , 
15,16,Giant chess pieces,Warm to the touch move through leaves—,A monkey runs by</p>, , , , 
16,17,Bull elephant flaps,"Ears, shakes head, and picks up speed—",It is time to go</p>, , , , 
17,18,Impala looks up,From her snack: dark eyelashes,Never touch in blink</p>, , , , 
18,19,Banded mongooses,(Mongeese?) pop out from below,"The deck, chirp, and stare</p>", , , , 
19,20,Wildebeest behind,The house bolts at the car door—,Four hooves-worth of dust</p>, , , , 
20,21,Zebra in the road,"Snorts as the car approaches,",Takes its time moving</p>, , , , 
21,22,Striped skink climbs brick and,Skitters through a ceiling hole—,We hear its toes click</p>, , , , 
