,FirstRow,SecondRow,ThirdRow,Original,FirstKeyPhrase,SecondKeyPhrase,KeyEmotion,Number
0,visiting the graves,stronger the october wind,at my grandparents,visiting the graves stronger the october wind at my grandparents, , , ,1
1,profound blue of night,the resin and salt of pines,so far from the sea,profound blue of night the resin and salt of pines so far from the sea, , , ,2
2,scattered in the ditch,like tiny scraps of blue sky,bits of plastic bag,scattered in the ditch like tiny scraps of blue sky bits of plastic bag, , , ,3
3,the smell of her hands,on the neck of the bottle,drinking greedily,the smell of her hands on the neck of the bottle drinking greedily, , , ,4
4,christmas services,a cellular phone rings out,handel's messiah,christmas services a cellular phone rings out handel's messiah, , , ,5
5,alabaster moon ,glowing among bare pine tops,in cool mountain mist,alabaster moon  glowing among bare pine tops in cool mountain mist, , , ,6
6,gazing at the moon,on a still summer's evening,feast for mosquitoes,gazing at the moon on a still summer's evening feast for mosquitoes, , , ,7
7,my tea gets colder,and the madeleine just sinks,memory betrays,my tea gets colder and the madeleine just sinks memory betrays, , , ,8
8,small green waves crashing,against a porcelain rim,morning tea tempest,small green waves crashing against a porcelain rim morning tea tempest, , , ,9
9,red poppies growing,between rows of white tombstones,as in remembrance,red poppies growing between rows of white tombstones as in remembrance, , , ,10
10,in front of bronze doors,they huddle against the cold,the newly homeless,in front of bronze doors they huddle against the cold the newly homeless, , , ,11
11,breakfast still rumbles,but no other guns are heard,armistice morning,breakfast still rumbles but no other guns are heard armistice morning, , , ,12
12,he winds up his watch,so carefully that morning,that will end the war,he winds up his watch so carefully that morning that will end the war, , , ,13
13,a flagpole stands guard,before a flooded schoolhouse,as a river runs,a flagpole stands guard before a flooded schoolhouse as a river runs, , , ,14
14,she cries silently,her sobs barely audible,and no one to hear,she cries silently her sobs barely audible and no one to hear, , , ,15
15,he turns one last time,flashing his sailor's wry smile,that bright november,he turns one last time flashing his sailor's wry smile that bright november, , , ,16
16,estuary dusk,the shadow of a net post,reaches the water,estuary dusk the shadow of a net post reaches the water, , , ,17
17,cut into his arm,a line for each day between,christmas and new year,cut into his arm a line for each day between christmas and new year, , , ,18
18,looking for something,in the bottom of a cup,the low autumn sun,looking for something in the bottom of a cup the low autumn sun, , , ,19
19,drawn in by the smell,of fast food and vinegar,this october sun,drawn in by the smell of fast food and vinegar this october sun, , , ,20
